,rn,iteration
785,"('R03524', 'forward')",1
786,"('R00763', 'forward')",1
787,"('R10837', 'forward')",1
788,"('R01014', 'forward')",1
789,"('R08968', 'reverse')",1
790,"('R10153', 'reverse')",1
791,"('R01844', 'reverse')",1
792,"('R09801', 'forward')",1
793,"('R04424', 'forward')",1
794,"('R02869', 'forward')",1
795,"('R10345', 'reverse')",1
796,"('R00778', 'reverse')",1
797,"('R09667', 'reverse')",1
798,"('R00012', 'forward')",1
799,"('R01843', 'forward')",1
800,"('R01126', 'forward')",1
801,"('R00348', 'forward')",1
802,"('R02282', 'forward')",1
803,"('R00764', 'reverse')",1
804,"('R02886', 'forward')",1
805,"('R00420', 'forward')",1
806,"('R10809', 'reverse')",1
807,"('R01384', 'reverse')",1
808,"('R05606', 'reverse')",1
809,"('R05661', 'reverse')",1
810,"('R00477', 'reverse')",1
811,"('R02244', 'forward')",1
812,"('R01011', 'forward')",1
813,"('R00224', 'reverse')",1
814,"('R00968', 'forward')",1
815,"('R10810', 'forward')",1
816,"('R01660', 'reverse')",1
817,"('R10817', 'forward')",1
818,"('R00973', 'reverse')",1
819,"('R00375', 'reverse')",1
820,"('R02890', 'forward')",1
821,"('R03033', 'forward')",1
822,"('R06530', 'forward')",1
823,"('R00185', 'forward')",1
824,"('R00568', 'reverse')",1
825,"('R02889', 'reverse')",1
826,"('R01858', 'forward')",1
827,"('R05647', 'forward')",1
828,"('R01563', 'reverse')",1
829,"('R00867', 'forward')",1
830,"('R00292', 'reverse')",1
831,"('R01071', 'reverse')",1
832,"('R03118', 'reverse')",1
833,"('R08676', 'reverse')",1
834,"('R10092', 'reverse')",1
835,"('R01791', 'reverse')",1
836,"('R04478', 'reverse')",1
837,"('R01980', 'forward')",1
838,"('R10348', 'forward')",1
839,"('R03271', 'reverse')",1
840,"('R00874', 'reverse')",1
841,"('R08991', 'forward')",1
842,"('R02556', 'reverse')",1
843,"('R10622', 'reverse')",1
844,"('R00747', 'forward')",1
