,ec,cofactor,rn
561,1.18.1.7,fes_2Fe_2S,R07704
562,1.18.1.7,fes_2Fe_2S,R07709
563,1.18.1.7,fes_2Fe_2S,R07710
564,1.18.1.7,fes_2Fe_2S,R09159
565,1.18.6.1,fes_4Fe_4S,R00002
566,1.18.6.1,fes_4Fe_4S,R00067
567,1.18.6.1,fes_4Fe_4S,R00153
568,1.18.6.1,fes_4Fe_4S,R02802
569,1.18.6.1,fes_4Fe_4S,R04782
570,1.18.6.1,fes_4Fe_4S,R05185
571,1.18.6.1,fes_4Fe_4S,R05496
572,1.18.6.1,fe,R00002
573,1.18.6.1,fe,R00067
574,1.18.6.1,fe,R00153
575,1.18.6.1,fe,R02802
576,1.18.6.1,fe,R04782
577,1.18.6.1,fe,R05185
578,1.18.6.1,fe,R05496
579,1.19.6.1,fes_4Fe_4S,R05186
580,1.19.6.1,fe,R05186
581,1.2.1.2,fe,R00519
582,1.2.1.2,fes,R00519
583,1.2.1.43,fe,R00134
584,1.2.1.58,fe,R02450
585,1.2.1.58,fes,R02450
586,1.2.2.4,fes_2Fe_2S,R00276
587,1.2.2.4,fes_2Fe_2S,R04698
588,1.2.3.1,fes_2Fe_2S,R00635
589,1.2.3.1,fes_2Fe_2S,R01709
590,1.2.3.1,fes_2Fe_2S,R02125
591,1.2.3.1,fes_2Fe_2S,R02657
592,1.2.3.1,fes_2Fe_2S,R03871
593,1.2.3.1,fes_2Fe_2S,R04085
594,1.2.3.1,fes_2Fe_2S,R04904
595,1.2.3.1,fes_2Fe_2S,R08349
596,1.2.3.1,fes_2Fe_2S,R08384
597,1.2.3.1,fes_2Fe_2S,R08408
598,1.2.3.4,mn,R00273
599,1.2.3.7,fe,R02681
600,1.2.7.1,fes_4Fe_4S,R01196
601,1.2.7.1,fes_4Fe_4S,R01199
602,1.2.7.1,fes_4Fe_4S,R08034
603,1.2.7.1,fes_4Fe_4S,R10866
604,1.2.7.10,fes_4Fe_4S,R09486
605,1.2.7.11,fes_4Fe_4S,R10516
606,1.2.7.3,fes_4Fe_4S,R01197
607,1.2.7.4,fe,R07157
608,1.2.7.4,fe,R08034
609,1.2.7.4,fe,R09317
610,1.2.7.5,fe,R07158
611,1.2.7.5,fe,R08571
612,1.2.7.5,fes,R07158
613,1.2.7.5,fes,R08571
614,1.2.7.6,fe,R07159
615,1.2.7.6,fes,R07159
616,1.2.7.7,fe,R07160
617,1.2.7.7,fe,R08566
618,1.2.7.7,fe,R08567
619,1.2.7.7,fes,R07160
620,1.2.7.7,fes,R08566
621,1.2.7.7,fes,R08567
622,1.2.7.8,fes_4Fe_4S,R07161
623,1.2.99.2,fes_4Fe_4S,R00296
624,1.2.99.2,fes_4Fe_4S,R07157
625,1.2.99.2,fes_4Fe_4S,R08034
626,1.2.99.7,fes_2Fe_2S,R00544
627,1.2.99.7,fes_2Fe_2S,R00638
628,1.2.99.8,fe,R10324
629,1.2.99.8,fes,R10324
630,1.20.2.1,fe,R09787
631,1.20.2.1,fes,R09787
632,1.20.9.1,fes_2Fe_2S,R05751
633,1.20.9.1,fes_2Fe_2S,R09787
634,1.20.9.1,fes_3Fe_4S,R05751
635,1.20.9.1,fes_3Fe_4S,R09787
636,1.21.3.2,fe,R00044
637,1.21.3.9,fe,R09566
638,1.3.1.1,fe,R00977
639,1.3.1.1,fe,R01414
640,1.3.1.1,fes,R00977
641,1.3.1.1,fes,R01414
642,1.3.1.14,fes_2Fe_2S,R01869
643,1.3.1.14,fe,R01869
644,1.3.1.14,fes,R01869
645,1.3.1.31,fe,R01689
646,1.3.1.31,fe,R02252
647,1.3.1.31,fes,R01689
648,1.3.1.31,fes,R02252
649,1.3.1.5,fe,R03763
650,1.3.1.5,fe,R03764
651,1.3.1.5,mn,R03763
652,1.3.1.5,mn,R03764
653,1.3.1.76,fe,R02864
654,1.3.1.76,fe,R03194
655,1.3.1.76,fe,R03947
656,1.3.1.80,fe,R09032
657,1.3.5.1,fe,R02164
658,1.3.5.1,fes,R02164
659,1.3.7.4,fes_2Fe_2S,R03678
660,1.3.7.4,fes_4Fe_4S,R03678
661,1.3.7.7,fes_4Fe_4S,R06282
662,1.3.7.7,fe,R06282
663,1.3.7.8,fe,R00283
664,1.3.7.8,fe,R02451
665,1.3.7.8,mn,R00283
666,1.3.7.8,mn,R02451
667,1.3.7.8,fes,R00283
668,1.3.7.8,fes,R02451
669,1.3.7.9,fes_4Fe_4S,R05316
670,1.3.7.9,fe,R05316
671,1.3.7.9,fes,R05316
672,1.3.99.19,fe,R05183
673,1.3.99.22,fes_4Fe_4S,R06895
674,1.3.99.35,fes_4Fe_4S,R09053
675,1.3.99.35,fes_4Fe_4S,R09060
676,1.4.1.13,fes_3Fe_4S,R00093
677,1.4.1.13,fes_3Fe_4S,R00114
678,1.4.1.13,fes_3Fe_4S,R00248
679,1.4.1.13,fes_3Fe_4S,R00256
680,1.4.1.13,fes_4Fe_4S,R00093
681,1.4.1.13,fes_4Fe_4S,R00114
682,1.4.1.13,fes_4Fe_4S,R00248
683,1.4.1.13,fes_4Fe_4S,R00256
684,1.4.5.1,fe,R09493
685,1.4.5.1,fes,R09493
686,1.4.7.1,fes_3Fe_4S,R00021
687,1.4.7.1,fes_3Fe_4S,R00256
688,1.4.7.1,fes_3Fe_4S,R10086
689,1.5.3.22,fe,R10602
690,1.5.5.1,fe,R04433
691,1.5.5.1,fes,R04433
692,1.5.7.1,fe,R01217
693,1.5.7.1,fes,R01217
694,1.5.7.2,fe,R10603
695,1.5.7.2,fes,R10603
696,1.5.8.1,fes_4Fe_4S,R01588
697,1.5.8.1,fes_4Fe_4S,R02511
698,1.5.8.2,fes_4Fe_4S,R01588
699,1.5.8.2,fes_4Fe_4S,R02511
700,1.5.99.15,fe,R10802
701,1.5.99.15,fes,R10802
702,1.6.5.3,fe,R02163
703,1.6.5.3,fe,R02166
704,1.6.5.3,fes,R02163
705,1.6.5.3,fes,R02166
706,1.6.5.8,fes_2Fe_2S,R02163
707,1.6.5.8,fe,R02163
708,1.6.5.8,fes,R02163
709,1.6.99.3,fe,R00281
710,1.6.99.3,fes,R00281
711,1.7.1.1,fe,R00794
712,1.7.1.1,fe,R00796
713,1.7.1.1,fes,R00794
714,1.7.1.1,fes,R00796
715,1.7.1.15,fe,R00787
716,1.7.1.15,fes,R00787
